'Use';'ItemID';'ItemName';'lvlReq';'isMaxLVL';'Icon';'Not Used';'Not Used';'Not Used';'Price';'Discount Price';'Used Price';'Money Flags';'Shop Flags';'Time Flags';'Time';'Point';'From Year';'From Month';'From 0';'From Day';'From Hour';'From Minute';'From Second';'From Millisecond';'To Year';'To Month';'To 0';'To Day';'To Hour';'To Minute';'To Second';'To Millisecond';'Model';'Amount';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'Texture #1';'Texture #2';'Texture #3';'Texture #4';'Texture #5';'Texture #6';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'NA';'Equip With #1?';'Equip With #2?';'NA';'NA';'NA';'NA'
'1';'134219784';'Santa Cap (Nuri)';'0';'0';'m_ha_a04';'0';'0';'0';'12900';'0';'0';'1';'32';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'';'';'';'';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'';'0';'0';'1';'0';'0';'0';''
'1';'134219785';'Afro Wig (Nuri)';'0';'0';'common_wig_01';'0';'0';'0';'14900';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'';'';'';'';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'';'0';'0';'1';'0';'0';'0';''
'1';'134219786';'Zigzag Hairband';'0';'0';'m_ha_a07_!ha!hb';'0';'0';'0';'13900';'9900';'0';'1';'1';'0';'0';'0';'2008';'4';'0';'24';'0';'0';'0';'0';'2008';'5';'0';'14';'7';'59';'59';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'m_ha_a07-01.jpg';'';'';'m_ha_a07-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'';'0';'0';'1';'0';'0';'0';''
'0';'134219787';'Nuri Hairband (JP)';'0';'0';'m_ha_a07_!ha!hb_jp';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'m_ha_a07-01_jp.jpg';'';'';'m_ha_a07-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'0';'134219788';'Nuri TW Natl Flag Cap (TW)';'0';'0';'tw_natl_flag_cap_01';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'2#m_cap_02-07.jpg';'';'';'2#m_cap_02-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'0';'134219790';'Nuri Angel Ring (JP)';'0';'0';'m_ha_a07_!ha!hb';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'';'';'';'';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219791';'Deer Hairband (Nuri)';'0';'0';'horn_male';'0';'0';'0';'15000';'0';'0';'1';'32';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'XMAS_HA_MALE.jpg';'';'';'XMAS_HA_MALE.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'';'0';'0';'1';'0';'0';'0';''
'1';'134219792';'Doggy Hairband (Nuri)';'0';'0';'nurung_hat';'0';'0';'0';'14900';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'';'';'';'';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'';'0';'0';'1';'0';'0';'0';''
'1';'134219793';'Tabby Hairband (Nuri)';'6';'0';'ullook_hat';'0';'0';'0';'15000';'0';'0';'2';'3';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'';'';'';'';'';'';'0';'0';'0';'0';'0';'0';'0';'0';'0';'1';'';'0';'0';'1';'0';'0';'0';''
'1';'134219794';'HG Cap (Nuri)(JP)';'0';'0';'Lamon_Cap';'0';'0';'0';'15900';'0';'0';'1';'0';'0';'0';'0';'2006';'1';'0';'19';'11';'0';'0';'0';'2006';'2';'0';'23';'10';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'HG_HA_01-01.jpg';'';'';'HG_HA_01-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'';'0';'0';'1';'0';'0';'0';''
'1';'134219795';'Black Headband';'0';'0';'M_HA_A14_!HA!HB';'0';'0';'0';'15000';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'2#M_HA_A14-01.jpg';'';'';'2#M_HA_A14-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'';'0';'0';'1';'0';'0';'0';''
'1';'134219796';'Blue Clover Hat (Nuri)';'0';'0';'TheLeprechaun';'0';'0';'0';'13900';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'CLOVERCAP_HA_02-01';'';'';'CLOVERCAP_HA_02-01';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'';'0';'0';'1';'0';'0';'0';''
'1';'134219797';'Out Clover Hat (Nuri)';'0';'0';'TheClover';'0';'0';'0';'11900';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'2#CLOVERCAP_HA_01-01';'';'';'2#CLOVERCAP_HA_01-01';'';'';'0';'0';'0';'0';'1';'0';'0';'0';'0';'1';'';'0';'0';'1';'0';'0';'0';''
'1';'134219798';'Angelic Ring (Nuri)';'6';'0';'M_HA_A18';'0';'0';'0';'10000000';'0';'0';'2';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'angelring_ha_01-01.jpg';'';'';'angelring_ha_01-01.jpg';'';'';'0';'0';'1';'1';'0';'0';'0';'0';'1';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219799';'Chaos Horn (Nuri)';'6';'0';'M_HA_A15';'0';'0';'0';'10000000';'0';'0';'2';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'devilhorn_ha_01-01.jpg';'';'';'devilhorn_ha_01-01.jpg';'';'';'0';'0';'1';'0';'1';'0';'0';'0';'0';'1';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219800';'Shinobi Hajimagi';'0';'0';'M_HA_A24_01';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'M_HA_A24-01.jpg';'';'';'M_HA_A24-01.jpg';'';'';'0';'0';'0';'0';'1';'0';'0';'0';'0';'2';'0.0';'0';'0';'1';'0';'0';'0';''
'0';'134219801';'Rabbit Headband (USA)';'0';'0';'f_ha_a05_01';'0';'0';'0';'14900';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'';'';'';'';'';'';'0';'0';'0';'0';'1';'0';'0';'0';'0';'1';'';'0';'0';'1';'0';'0';'0';''
'1';'134219802';'Skull Leather Hat (Nuri)';'0';'0';'common_hg_cap';'0';'0';'0';'11900';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'hg_ha_01-01.jpg';'';'';'hg_ha_01-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219803';'Tony J. Hairband';'0';'0';'m_ha_a20';'0';'0';'0';'23900';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'hg_ha_01-01.jpg';'';'';'hg_ha_01-01.jpg';'';'';'0';'0';'0';'1';'1';'0';'0';'0';'0';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'0';'134219804';'Out Clover Hat (Nuri)';'0';'0';'common_clover_cap_01';'0';'0';'0';'11900';'0';'0';'1';'0';'0';'0';'0';'2006';'5';'0';'2';'7';'0';'0';'0';'2006';'5';'0';'15';'4';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'2#clovercap_ha_01-01';'';'';'2#clovercap_ha_01-01';'';'';'0';'0';'0';'0';'1';'0';'0';'0';'0';'1';'';'0';'0';'1';'0';'0';'0';''
'0';'134219805';'Blue Clover Hat (Nuri)';'0';'0';'common_clover_cap_02';'0';'0';'0';'13900';'0';'0';'1';'0';'0';'0';'0';'2006';'5';'0';'2';'7';'0';'0';'0';'2006';'5';'0';'15';'4';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'clovercap_ha_02-01';'';'';'clovercap_ha_02-01';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'';'0';'0';'1';'0';'0';'0';''
'1';'134219806';'Rabbit Hairband (Nuri)';'0';'0';'common_rabbit_headband';'0';'0';'0';'14900';'0';'0';'1';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'rabbit_ha_a01-01';'';'';'rabbit_ha_a01-01';'';'';'0';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219807';'Military Hat (Nuri)';'0';'0';'m_ha_02-09';'0';'0';'0';'14900';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'2#m_cap_02-09.jpg';'';'';'2#m_cap_02-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219808';'Blue Lined Cap';'10';'0';'[m_ha_a27-01';'0';'0';'0';'38000';'0';'0';'2';'3';'0';'0';'0';'2008';'4';'0';'24';'0';'0';'0';'0';'2008';'5';'0';'14';'7';'59';'59';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'[m_ha_a27-01.jpg';'';'';'[m_ha_a27-01.jpg';'';'';'0';'0';'0';'0';'0';'0';'0';'0';'1';'1';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219809';'Blue Lined Headband';'0';'0';'m_ha_a25-01';'0';'0';'0';'19900';'13900';'0';'1';'1';'0';'0';'0';'2008';'4';'0';'24';'0';'0';'0';'0';'2008';'5';'0';'14';'7';'59';'59';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'m_ha_a25-01.jpg';'';'';'m_ha_a25-01.jpg';'';'';'0';'0';'0';'2';'0';'0';'0';'0';'0';'1';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219810';'Small Octopus (Nuri)';'0';'0';'octopus_ha_a01-01';'0';'0';'0';'13900';'9900';'0';'1';'1';'0';'0';'0';'2008';'4';'0';'24';'0';'0';'0';'0';'2008';'5';'0';'14';'7';'59';'59';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'octopus_ha_a01-01.jpg';'';'';'octopus_ha_a01-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219811';'Straw Hat (Nuri)';'8';'0';'hat_ha_a01-01';'0';'0';'0';'35000';'0';'0';'2';'3';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'hat_ha_a01-01.jpg';'';'';'hat_ha_a01-01.jpg';'';'';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219812';'Safety Helmet (Nuri)';'8';'0';'common_protecthat';'0';'0';'0';'35000';'0';'0';'2';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'protecthat_ha_a01-01.jpg';'';'';'protecthat_ha_a01-01.jpg';'';'';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219813';'Lamb Head (Nuri)';'0';'0';'LAMBHEAD_HA_A01-01';'0';'0';'0';'14900';'0';'0';'1';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'LAMBHEAD_HA_A01-01.jpg';'';'';'LAMBHEAD_HA_A01-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219814';'Blue Hood (Nuri)';'0';'0';'m_ha_a32_01';'0';'0';'0';'17900';'0';'0';'1';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'m_ha_a32-01.jpg';'';'';'m_ha_a32-01.jpg';'';'';'0';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219815';'Black Hood (Nuri)';'0';'0';'m_ha_a32_02';'0';'0';'0';'17900';'0';'0';'1';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'m_ha_a32-02.jpg';'';'';'m_ha_a32-01.jpg';'';'';'0';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219816';'Holy Wing(Nuri)';'0';'0';'common_ha_a_z01_01';'0';'0';'0';'10000000';'0';'0';'2';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'[ha_a_z01-01.jpg';'';'';'[ha_a_z01-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219817';'Dark Wing(Nuri)';'0';'0';'common_ha_a_z01_02';'0';'0';'0';'10000000';'0';'0';'2';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'[ha_a_z01-02.jpg';'';'';'[ha_a_z01-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219818';'Angel Feather(Nuri)';'0';'0';'common_ha_a_z02_01';'0';'0';'0';'10000000';'0';'0';'2';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'[ha_a_z02-01.jpg';'';'';'[ha_a_z02-01.jpg';'';'';'0';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219819';'Devil Feather(Nuri)';'0';'0';'common_ha_a_z02_02';'0';'0';'0';'10000000';'0';'0';'2';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'[ha_a_z02-02.jpg';'';'';'[ha_a_z02-01.jpg';'';'';'0';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219820';'Leopard CowBoy Hat(Nuri)';'0';'0';'common_leopard_cowboy_hat';'0';'0';'0';'14900';'0';'0';'1';'1';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'ha_a_z03-01.jpg';'';'';'ha_a_z03-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'1';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219821';'Gold Prince Crown(Nuri)';'0';'0';'common_gold_prince_crown';'0';'0';'0';'10000000';'0';'0';'2';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'ha_a_z07-01.jpg';'';'';'ha_a_z07-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219822';'Silver Prince Crown(Nuri)';'0';'0';'common_silver_prince_crown';'0';'0';'0';'10000000';'0';'0';'2';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'ha_a_z07-02.jpg';'';'';'ha_a_z07-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219823';'Red Line Goggles';'0';'0';'m_ha_a34_01';'0';'0';'0';'19900';'0';'0';'1';'1';'0';'0';'0';'2008';'4';'0';'1';'0';'0';'0';'0';'2008';'5';'0';'5';'23';'59';'59';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'[2#M_HA_A34-01.jpg';'';'';'[2#M_HA_A34-01.jpg';'';'';'0';'0';'1';'0';'0';'0';'0';'1';'0';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219824';'Green Line Goggles';'0';'0';'m_ha_a35_01';'0';'0';'0';'19900';'0';'0';'1';'1';'0';'0';'0';'2008';'4';'0';'1';'0';'0';'0';'0';'2008';'5';'0';'5';'23';'59';'59';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'[2#M_HA_A35-01.jpg';'';'';'[2#M_HA_A35-01.jpg';'';'';'0';'0';'1';'0';'0';'0';'0';'1';'0';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219825';'Sky Sheep Night Cap(Nuri)';'0';'0';'m_ha_a33_01';'0';'0';'0';'10000000';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'0';'2';'0';'0';'0';'1';'0';'0';'0';'0';'0';'0';'0';'m_ha_33-01.jpg';'';'';'m_ha_33-01.jpg';'';'';'0';'0';'0';'1';'0';'0';'0';'0';'2';'0';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219826';'Little Horn(Nuri)';'9';'0';'common_halloween_horn';'0';'0';'0';'30000';'0';'0';'2';'0';'0';'0';'0';'2007';'10';'0';'23';'0';'0';'0';'0';'2007';'11';'0';'7';'23';'59';'59';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'ha_a_z09-01.jpg';'';'';'ha_a_z09-01.jpg';'';'';'0';'0';'0';'0';'0';'0';'0';'0';'1';'1';'0.0';'0';'0';'1';'0';'0';'0';''
'1';'134219827';'Candle Hat(Nuri)';'0';'0';'common_candle_hat';'0';'0';'0';'17900';'0';'0';'1';'0';'0';'0';'0';'2007';'10';'0';'23';'0';'0';'0';'0';'2007';'11';'0';'7';'23';'59';'59';'0';'2';'0';'0';'0';'3';'0';'0';'0';'0';'0';'0';'0';'ha_a_z10-01.jpg';'';'';'ha_a_z10-01.jpg';'';'';'0';'0';'0';'1';'1';'0';'0';'0';'1';'0';'0.0';'0';'0';'1';'0';'0';'0';''
